NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0845,09.233,sheath for machete,sarung parang,ta'up  93ok,"ta'up  93ok  +JJA  +BBG [1. tá'upu], JJA: abitong [h]  ""strap for carrying sheath""",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[1. tá'upu],,,household,noun,,buatan manusia,,239,257.0,0.0,,,
0845,09.233,sheath for machete,sarung parang,abitong,"ta'up  93ok  +JJA  +BBG [1. tá'upu], JJA: abitong [h]  ""strap for carrying sheath""",Lauje,Janja,120.4628,0.74811,,True,,,False,nan,,[h],"""strap for carrying sheath""",,household,noun,,buatan manusia,,239,257.0,0.0,,,
0845a,09.234,handle of machete,pegangan parang,populuang,JJA: populuang,Lauje,Janja,120.4628,0.74811,,True,,,False,nan,,,,,household,noun,,buatan manusia,,,0.0,0.0,,,
0847,08.330,sickle,sabit,sarëngko,sarëngko,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0650,,0.0,0.0,,,
0848,09.221,cut down,tebang  menebang,tobong,"tobong moN- -in-~, tibas moN-  p35",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- -in-,,,,farming,tr,action,,0738,,0.0,0.0,,,
0848,09.221,cut down,tebang  menebang,tibas,"tobong moN- -in-~, tibas moN-  p35",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,moN-  ,,,,farming,tr,action,,0738,,0.0,0.0,,,
0849,09.222,"chip, slash, hew","tetak  menetak, bacok  membacok",tatal,tatal moN- -in-~,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- -in-,,,,farming,tr,action,,0610,,0.0,0.0,,,
0850,09.220,"cut (wood, across grain)",potong  memotong (kayu),'olog,"'olog moN%k- moN%k--a' -in-~ -in--a'~ p55  +BBG +SBG, tibo' -in- -ome ""tebas, tebang"" p25, BBG: toto' moN-  +JJA",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN%k- moN%k--a' -in- -in--a'    ,,,,,tr,action,kata kerja,1247,385*,66.0,78.0,,,25.0
0850,09.220,"cut (wood, across grain)",potong  memotong (kayu),tibo',"'olog moN%k- moN%k--a' -in-~ -in--a'~ p55  +BBG +SBG, tibo' -in- -ome ""tebas, tebang"" p25, BBG: toto' moN-  +JJA",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,"-in- -ome ""tebas",,,,,tr,action,kata kerja,1247,385*,66.0,78.0,,,25.0
0850,09.220,"cut (wood, across grain)",potong  memotong (kayu),"tebang""","'olog moN%k- moN%k--a' -in-~ -in--a'~ p55  +BBG +SBG, tibo' -in- -ome ""tebas, tebang"" p25, BBG: toto' moN-  +JJA",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,tr,action,kata kerja,1247,385*,66.0,78.0,,,25.0
